playerid,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC,fixture_id
6111,Ryan Byrnes,6,6,12,2,0,0,2,0,0,3,0,2,0,0,1,41,42,135
6112,Mattaes Phillipou,3,8,11,1,0,0,3,0,0,1,0,2,0,0,0,40,48,135
6113,Daniel Butler,8,2,10,0,2,1,4,0,0,2,1,1,1,0,0,57,57,135
6114,Cooper Sharman↙,8,2,10,4,0,0,1,0,0,3,1,2,3,0,0,44,37,135
6115,Jack Higgins,7,2,9,1,1,4,0,0,0,0,1,2,1,1,2,33,38,135
6116,Liam Stocker,2,7,9,2,0,0,1,0,0,0,0,1,0,0,1,27,21,135
6117,Anthony Caminiti,3,6,9,4,2,1,0,8,2,0,0,2,0,2,1,53,54,135
6118,Josh Battle↗,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,3,2,135
6119,Shai Bolton,22,9,31,3,0,2,3,0,4,9,9,4,1,3,1,107,158,136
6120,Dustin Martin,15,14,29,5,1,0,0,0,0,5,6,2,0,0,1,91,131,136
6121,Tim Taranto,14,15,29,2,0,1,5,0,0,4,9,8,2,1,1,97,84,136
6122,Dion Prestia,11,11,22,5,0,0,5,0,1,3,6,2,2,0,0,90,110,136
6123,Jacob Hopper,13,9,22,0,0,0,3,0,1,3,7,2,4,1,0,70,88,136
6124,Jack Ross↙,14,6,20,6,2,2,2,0,0,3,0,1,3,2,0,96,95,136
6125,Toby Nankervis,12,7,19,3,1,1,5,33,0,4,6,7,0,3,3,113,108,136
6126,Jack Graham,12,7,19,1,2,0,4,0,0,3,1,6,3,0,2,75,82,136
6127,Nick Vlastuin,8,10,18,8,1,0,4,0,0,0,0,2,3,1,2,85,87,136
6128,Daniel Rioli,9,9,18,4,0,0,2,0,0,2,0,3,3,2,1,64,57,136
6129,Trent Cotchin,9,6,15,3,1,1,1,0,0,6,2,4,0,1,2,54,51,136
6130,Kamdyn Mcintosh,8,7,15,2,0,0,3,0,0,4,1,2,4,0,0,56,46,136
6131,Noah Balta,12,3,15,6,0,0,1,0,0,1,0,1,5,1,0,65,73,136
6132,Liam Baker,8,5,13,1,1,2,3,0,1,2,0,5,0,0,1,54,66,136
6133,Sam Banks,9,4,13,1,0,0,0,0,0,0,0,4,3,1,0,39,38,136
6134,Nathan Broad,3,5,8,2,0,0,5,0,0,1,0,2,2,0,1,42,62,136
6135,Ben Miller,5,3,8,3,1,1,1,16,0,0,0,1,0,1,0,58,56,136
6136,Maurice Rioli,4,4,8,3,0,2,2,0,1,0,0,0,0,0,0,39,43,136
6137,Dylan Grimes,4,2,6,2,0,0,2,0,0,1,0,1,1,1,0,31,45,136
6138,Marlion Pickett,4,2,6,2,1,1,4,0,0,2,0,2,0,0,2,39,50,136
6139,Tylar Young,6,0,6,2,0,0,4,0,0,2,0,3,2,1,2,35,56,136
6140,Jack Riewoldt,4,1,5,3,1,1,4,0,0,1,0,2,0,0,1,43,45,136
6141,Jacob Bauer↗,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,7,136
6142,Errol Gulden,24,7,31,6,1,0,6,0,2,4,3,8,8,1,3,126,143,136
6143,Oliver Florent,13,17,30,10,0,0,0,0,0,1,1,4,6,0,0,103,94,136
6144,Luke Parker,9,19,28,2,0,0,3,0,1,3,7,3,0,1,0,84,85,136
6145,Callum Mills,12,9,21,4,0,0,7,0,0,4,4,2,3,1,1,92,99,136
6146,James Rowbottom,11,10,21,0,0,1,7,0,0,4,4,4,1,1,2,77,93,136
6147,Nick Blakey,14,6,20,0,0,0,1,0,0,1,0,7,10,0,0,58,41,136
6148,Braeden Campbell,15,3,18,4,0,1,1,0,1,5,3,1,1,1,1,66,83,136
6149,Isaac Heeney,5,12,17,3,3,0,6,0,0,1,1,5,0,0,0,90,98,136
6150,Lance Franklin,10,5,15,7,2,1,3,0,1,3,0,5,0,3,3,80,90,136
6151,Will Hayward,9,5,14,4,2,0,3,0,1,1,0,2,1,0,0,73,99,136
6152,Angus Sheldrick,5,9,14,3,0,0,1,0,0,4,1,0,0,0,0,46,53,136
6153,Harry Cunningham,6,7,13,1,0,0,3,0,0,2,0,1,2,1,0,48,56,136
6154,Hayden McLean,5,8,13,5,0,2,2,15,2,2,0,2,1,0,1,68,71,136
6155,Dane Rampe,9,3,12,4,0,0,3,0,0,3,0,4,1,0,0,57,61,136
6156,Tom Papley,8,4,12,2,1,1,2,0,1,3,2,3,0,2,2,49,60,136
6157,Justin McInerney,8,4,12,6,2,0,3,0,0,2,0,3,1,0,1,71,58,136
6158,Jake Lloyd↗,8,3,11,2,0,0,0,0,0,0,0,1,4,2,0,38,31,136
6159,Tom McCartin,8,3,11,1,0,0,2,0,0,3,0,1,1,2,1,40,63,136
6160,Lewis Melican,5,5,10,4,0,0,5,0,0,0,0,3,1,1,0,58,69,136
6161,Aaron Francis↙,6,4,10,5,0,0,2,0,0,1,0,3,1,1,1,47,53,136
6162,Robbie Fox,2,7,9,2,0,0,5,0,0,0,1,2,1,0,1,43,56,136
6163,Tom Hickey,4,3,7,0,0,0,6,17,0,1,4,3,1,3,2,56,63,136
6164,Logan McDonald,2,4,6,3,0,1,1,1,1,1,0,0,0,0,0,29,42,136
6165,Caleb Daniel,15,17,32,4,0,1,6,0,0,4,5,4,0,0,0,116,103,137
6166,Marcus Bontempelli,14,15,29,5,0,1,8,0,1,5,6,4,1,0,2,114,123,137
6167,Thomas Liberatore,12,16,28,1,0,0,4,0,1,5,11,4,0,0,1,84,75,137
6168,Adam Treloar,12,14,26,3,0,0,1,0,0,5,4,7,2,1,1,75,52,137
6169,Jackson Macrae,10,15,25,8,0,0,2,0,2,4,4,1,4,1,0,93,81,137
6170,Bailey Dale,13,12,25,2,0,0,2,0,0,0,0,2,6,1,0,78,92,137
6171,Ed Richards,15,4,19,9,0,0,1,0,0,0,1,2,4,0,0,84,85,137
6172,Timothy English,8,9,17,6,0,0,1,30,0,0,2,1,2,0,0,94,130,137
6173,Cody Weightman,12,5,17,3,4,2,4,0,1,2,0,2,0,2,0,99,96,137
6174,Rhylee West,8,8,16,3,0,0,4,0,3,4,0,3,0,0,1,62,59,137
6175,Jamarra U-Hagan,13,3,16,10,2,3,1,0,1,4,0,5,0,1,1,92,87,137
6176,Caleb Poulter,10,6,16,4,1,0,1,0,0,3,0,1,1,1,0,65,67,137
6177,Taylor Duryea,8,6,14,7,0,0,2,0,0,0,0,3,5,2,2,61,48,137
6178,Bailey Williams,5,9,14,4,0,0,2,0,0,2,1,2,1,0,2,47,43,137
6179,Laitham Vandermeer,6,8,14,2,0,0,1,0,0,3,0,1,1,2,1,43,48,137
6180,Alex Keath,8,5,13,6,0,0,0,0,0,0,0,2,1,0,1,49,60,137
6181,Aaron Naughton,10,2,12,5,4,2,2,0,1,0,0,2,0,1,1,81,94,137
6182,Bailey Smith,6,5,11,1,0,0,3,0,0,4,1,1,0,0,0,43,41,137
6183,Lachlan McNeil,5,5,10,5,0,1,3,0,0,2,0,2,0,0,1,50,44,137
6184,Rory Lobb,4,5,9,1,0,0,1,9,0,0,0,0,1,0,0,38,52,137
6185,Ryan Gardner,6,1,7,4,0,0,0,0,0,2,0,2,1,0,0,32,46,137
6186,James O'Donnell↗,2,3,5,0,0,0,0,0,0,1,2,2,1,0,1,9,12,137
6187,Anthony Scott↙,2,2,4,0,0,0,2,0,0,1,2,0,0,0,0,18,14,137
6188,Nick Daicos,13,16,29,1,2,0,6,0,0,5,11,1,3,2,0,112,139,137
6189,John Noble,16,12,28,9,0,0,4,0,0,2,1,3,6,1,1,113,99,137
6190,Isaac Quaynor,16,11,27,13,0,0,3,0,0,1,0,4,6,0,1,118,108,137
6191,Jack Crisp,13,13,26,4,0,0,3,0,0,5,4,2,1,1,1,87,85,137
6192,Tom Mitchell,9,15,24,3,0,0,5,0,1,6,4,1,0,2,0,88,109,137
6193,Josh Daicos,14,10,24,11,1,0,3,0,1,1,3,2,2,1,0,114,111,137
6194,Jordan De Goey,12,11,23,4,1,1,5,0,2,6,5,3,0,1,0,98,113,137
6195,Darcy Moore,14,8,22,7,0,0,2,0,0,0,0,5,6,2,4,77,107,137
6196,Scott Pendlebury,14,7,21,7,0,0,4,0,1,2,3,2,2,0,0,93,86,137
6197,Taylor Adams,13,6,19,4,0,0,5,0,0,3,2,4,0,0,0,83,61,137
6198,Oleg Markov,12,7,19,6,0,1,2,0,0,2,0,0,2,1,0,78,76,137
6199,Jeremy Howe,15,3,18,10,0,0,2,0,0,0,0,3,5,0,0,89,71,137
6200,Patrick Lipinski,11,5,16,7,1,0,0,0,0,3,1,2,1,0,1,67,54,137
6201,Bobby Hill,9,3,12,6,0,2,1,0,0,2,1,1,0,1,1,55,60,137
6202,Ash Johnson,7,4,11,5,3,0,0,0,0,1,0,3,0,2,1,61,66,137
6203,Darcy Cameron,5,5,10,4,0,0,2,35,0,0,0,2,0,0,1,77,80,137
6204,Beau McCreery,6,4,10,4,0,0,4,0,1,4,0,0,0,0,0,54,52,137
6205,Jamie Elliott,7,2,9,7,4,2,3,0,1,0,0,2,0,0,1,81,87,137
6206,Nathan Murphy,7,2,9,5,0,0,4,0,0,0,0,0,3,1,0,57,86,137
6207,Trent Bianco↙,7,2,9,3,0,0,0,0,1,1,0,3,1,0,0,34,20,137
6208,Billy Frampton,2,3,5,1,1,0,0,3,0,0,1,1,0,0,0,24,31,137
6209,Mason Cox,3,1,4,3,0,3,3,6,0,0,0,0,0,0,0,41,30,137
6210,Will H-Elliott↗,2,0,2,0,0,0,4,0,0,0,0,1,1,0,0,22,18,137
6211,Lachie Neale,19,13,32,7,0,1,5,0,2,5,8,2,2,2,0,127,142,138
6212,Jarryd Lyons,12,17,29,5,0,0,6,0,1,4,6,1,3,1,0,110,114,138
6213,Will Ashcroft,13,15,28,5,0,0,7,0,2,5,7,0,1,1,0,113,148,138
6214,Cameron Rayner,12,9,21,6,1,1,1,0,2,7,3,5,0,0,3,74,94,138
6215,Zac Bailey,11,10,21,4,1,0,1,0,1,5,2,4,0,0,0,75,73,138
6216,Jack Gunston,15,5,20,8,6,2,2,0,0,2,1,2,1,2,0,127,140,138
6217,Hugh McCluggage,16,4,20,8,2,0,6,0,0,7,2,3,0,2,0,118,128,138
6218,Harris Andrews,14,5,19,13,0,0,2,0,0,2,0,3,2,0,0,99,117,138
6219,Dayne Zorko↗,10,7,17,2,0,1,1,0,0,4,1,1,1,0,0,55,63,138
6220,Joe Daniher,11,5,16,4,0,2,0,3,2,4,2,4,0,0,2,54,78,138
6221,Keidean Coleman,9,7,16,6,0,1,4,0,0,1,0,1,1,1,0,77,73,138
6222,Conor McKenna,12,3,15,6,0,0,1,0,0,3,1,2,2,2,1,63,58,138
6223,Darcy Wilmot,9,6,15,5,1,0,4,0,0,1,0,0,1,0,0,76,89,138
6224,Oscar McInerney,5,9,14,4,1,0,3,35,0,2,3,5,1,0,1,95,86,138
6225,Ryan Lester,6,7,13,4,0,0,0,0,0,0,0,1,2,0,1,41,61,138
6226,Brandon Starcevich,9,3,12,2,1,0,1,0,0,2,0,0,2,0,0,49,60,138
6227,Eric Hipwood,10,1,11,8,2,3,0,0,1,2,0,2,0,1,1,69,73,138
6228,Deven Robertson,4,6,10,3,0,1,6,0,0,0,1,1,0,0,1,55,68,138
6229,Jaspa Fletcher,5,5,10,3,1,0,0,0,0,1,1,2,1,0,1,37,49,138
6230,Charlie Cameron,3,4,7,1,0,2,2,0,1,1,0,2,0,1,1,28,53,138
6231,Jack Payne,6,1,7,3,0,0,2,0,0,0,0,1,2,0,0,37,48,138
6232,James Madden,5,2,7,0,0,0,2,0,1,3,1,1,1,1,0,28,50,138
6233,Kai Lohmann↙,3,2,5,4,0,0,0,0,0,1,0,1,1,0,0,25,13,138
6234,Liam Duggan,24,9,33,9,0,0,1,0,0,5,0,5,9,1,2,116,95,138
6235,Jayden Hunt,17,10,27,15,1,0,1,0,0,2,0,0,4,0,0,126,116,138
6236,Tim Kelly,15,11,26,3,1,1,6,0,1,5,6,2,2,1,0,108,110,138
6237,Alex Witherden,21,1,22,9,0,0,3,0,0,1,0,2,5,1,0,105,92,138
6238,Brady Hough,16,6,22,14,0,0,2,0,0,0,0,2,2,1,0,111,86,138
6239,Jeremy McGovern↗,17,3,20,9,0,0,2,0,0,0,0,1,7,1,1,90,116,138
6240,Dominic Sheed,10,9,19,5,0,0,3,0,0,0,1,3,3,0,0,75,57,138
6241,Elijah Hewett,9,9,18,2,0,0,5,0,0,2,4,5,3,0,3,62,83,138
6242,Jack Petruccelle,8,9,17,3,0,0,1,0,0,2,4,3,1,0,0,55,66,138
6243,Campbell Chesser,8,6,14,6,0,0,3,0,1,2,1,3,1,0,0,66,55,138
