playerid,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC,fixture_id
654,Dylan Stephens,10,5,15,1,0,1,2,0,1,2,1,3,2,1,0,53,67,16
655,Chad Warner,7,8,15,2,0,1,4,0,0,3,4,1,1,1,0,61,80,16
656,Braeden Campbell,13,2,15,5,0,0,5,0,0,1,0,1,2,1,1,76,86,16
657,Will Hayward,10,4,14,5,1,2,5,0,1,2,1,2,0,1,0,82,81,16
658,James Rowbottom,7,7,14,0,0,1,6,0,0,3,4,3,1,2,1,59,70,16
659,Isaac Heeney,9,4,13,6,2,0,4,0,2,3,0,4,2,1,1,79,77,16
660,Patrick McCartin,8,5,13,5,0,0,0,0,0,2,0,0,3,0,0,49,73,16
661,Peter Ladhams,8,5,13,3,0,0,2,17,0,3,4,5,1,3,1,68,59,16
662,Logan McDonald,10,3,13,5,5,1,0,0,0,2,0,1,0,2,0,84,95,16
663,Tom McCartin,4,8,12,3,0,0,3,0,0,0,0,3,1,0,1,46,51,16
664,Joel Amartey↗,10,1,11,9,4,2,1,0,1,3,0,1,0,2,0,91,122,16
665,Harry Cunningham,4,5,9,1,0,0,1,0,1,2,1,1,0,1,1,27,42,16
666,Hayden McLean,4,2,6,2,0,1,4,5,1,2,1,5,0,0,4,32,31,16
667,Matthew Roberts↙,4,1,5,0,0,1,0,0,0,1,0,1,0,0,0,15,10,16
668,Will Day,11,15,26,4,0,0,4,0,0,4,7,2,2,4,1,92,98,16
669,James Sicily,14,11,25,7,0,0,2,0,0,1,0,2,7,0,2,87,99,16
670,Jai Newcombe,16,9,25,5,0,1,4,0,0,4,5,1,2,1,0,99,99,16
671,Jarman Impey,12,11,23,6,0,0,0,0,0,0,1,2,3,0,1,73,51,16
672,Karl Amon,12,11,23,3,0,0,1,0,0,3,1,1,1,0,0,71,85,16
673,Dylan Moore,15,8,23,8,1,1,4,0,0,5,1,1,1,1,0,109,109,16
674,James Worpel,14,8,22,3,1,0,3,0,0,8,6,5,3,3,2,82,99,16
675,Lachlan Bramble,18,4,22,5,0,0,3,0,0,3,1,2,7,1,0,90,75,16
676,Conor Nash,10,9,19,4,0,0,1,1,1,1,4,3,2,0,1,62,60,16
677,Josh Ward,8,11,19,3,0,1,3,0,0,1,2,2,1,0,1,65,70,16
678,Changkuoth Jiath,10,7,17,4,0,0,2,0,0,1,1,4,1,0,2,58,67,16
679,Connor MacDonald,9,6,15,5,0,1,2,0,0,1,0,2,2,0,0,63,60,16
680,Cameron Mackenzie,7,5,12,1,0,1,3,0,0,2,3,3,0,0,1,44,52,16
681,Jacob Koschitzke,5,6,11,4,0,1,1,0,0,1,0,1,0,1,0,45,64,16
682,Luke Breust,7,3,10,4,1,2,4,0,1,2,0,4,0,0,1,60,55,16
683,Blake Hardwick,8,2,10,2,0,0,2,0,0,0,0,2,3,2,0,44,58,16
684,Fergus Greene,9,1,10,6,0,4,0,0,1,2,0,2,0,0,0,51,49,16
685,Finn Maginness,5,5,10,3,0,0,1,0,0,1,0,4,1,1,1,36,33,16
686,Lloyd Meek,5,4,9,1,1,1,8,19,0,0,3,3,1,2,1,83,98,16
687,Sam Frost,4,2,6,3,0,0,4,0,0,1,0,6,1,0,4,29,27,16
688,James Blanck,4,2,6,2,0,0,3,0,0,0,0,1,2,1,0,35,44,16
689,Ned Reeves↗,2,2,4,1,0,0,0,14,0,1,0,2,0,0,1,24,23,16
690,Sam Butler↙,1,2,3,1,0,0,2,0,0,0,0,1,1,0,0,18,7,16
691,Zachary Merrett,16,15,31,4,0,1,3,0,0,7,4,3,1,0,1,100,114,17
692,Darcy Parish,16,14,30,2,0,0,6,0,0,7,11,5,5,3,2,103,124,17
693,Will Setterfield,17,11,28,4,1,0,9,0,1,10,5,2,1,3,0,130,147,17
694,Dylan Shiel,12,15,27,3,2,0,4,0,0,4,7,4,4,0,0,103,109,17
695,Andrew McGrath,13,12,25,5,0,0,2,0,0,3,0,2,5,2,0,88,101,17
696,Mason Redman,17,5,22,7,0,1,6,0,0,1,0,4,4,2,2,103,110,17
697,Sam Durham,8,12,20,4,0,1,3,0,1,1,1,2,3,1,1,71,84,17
698,Jordan Ridley,13,5,18,5,0,0,0,0,0,0,1,2,7,0,0,64,70,17
699,Massimo D'Ambrosio,13,5,18,5,0,0,1,0,1,2,0,3,3,0,1,65,59,17
700,Jye Caldwell,7,8,15,2,0,1,7,0,1,5,2,1,1,2,1,71,83,17
701,Dyson Heppell↗,7,7,14,7,0,0,1,0,0,3,0,2,1,0,0,60,43,17
702,Kyle Langford,12,2,14,7,5,2,1,0,1,0,0,2,0,0,0,97,109,17
703,Jayden Laverde,9,5,14,4,0,0,3,0,0,0,0,2,1,0,1,58,77,17
704,Nicholas Martin,6,7,13,1,1,0,1,0,1,0,0,5,2,0,1,42,49,17
705,Jake Kelly,6,5,11,5,0,0,3,0,0,3,1,1,1,1,1,53,63,17
706,Brandon Z-Thatcher,5,6,11,6,0,0,1,0,0,0,0,1,3,0,1,46,70,17
707,Sam Draper,6,4,10,5,0,2,1,24,1,0,3,3,2,0,2,65,60,17
708,Alwyn Davey,5,5,10,1,1,0,3,0,0,2,0,2,0,1,0,47,45,17
709,Archie Perkins,5,3,8,3,1,0,1,0,1,2,0,2,0,0,2,34,45,17
710,Jye Menzie,6,2,8,5,2,0,4,0,0,0,0,2,0,0,1,62,58,17
711,Andrew Phillips,4,3,7,0,1,0,4,14,1,2,0,2,0,2,0,56,54,17
712,Harrison Jones,6,1,7,4,0,0,1,0,1,4,0,0,0,1,0,37,47,17
713,Matt Guelfi↙,4,2,6,1,2,0,1,0,0,1,1,2,0,0,1,32,45,17
714,Touk Miller,24,7,31,3,0,0,5,0,0,5,5,10,5,2,5,102,106,17
715,Noah Anderson,18,7,25,4,0,2,1,0,0,5,7,2,2,0,1,83,91,17
716,Lachlan Weller,18,6,24,7,0,1,0,0,0,3,1,1,4,0,0,88,63,17
717,Matt Rowell,14,8,22,4,0,0,6,0,1,8,10,2,0,1,0,95,94,17
718,Ben Ainsworth,9,10,19,3,1,2,1,0,1,5,0,2,1,2,0,70,86,17
719,Charlie Constable,13,6,19,8,0,0,2,0,0,3,2,2,8,1,1,81,67,17
720,Darcy Macpherson,16,2,18,5,0,0,0,0,1,3,0,1,5,0,0,67,74,17
721,Samuel Collins,10,7,17,11,0,0,4,0,0,0,0,2,2,1,1,91,91,17
722,Jack Lukosius,15,2,17,6,1,1,1,0,1,3,0,3,3,2,1,77,88,17
723,Ben Long,6,9,15,2,0,0,2,0,0,2,2,3,3,0,1,47,56,17
724,David Swallow,8,6,14,4,0,1,5,0,1,5,4,2,0,1,0,70,70,17
725,Jarrod Witts,6,6,12,4,1,0,0,36,1,3,5,0,0,0,0,84,108,17
726,Ben King,4,8,12,2,2,0,0,0,1,1,0,2,0,0,1,43,70,17
727,Nicholas Holman,5,6,11,5,0,0,1,0,0,3,2,4,0,1,3,38,45,17
728,Malcolm Rosas,7,4,11,1,0,3,3,0,0,1,1,1,0,2,0,49,55,17
729,Sam Flanders,5,6,11,6,0,0,2,0,0,0,0,0,0,0,0,53,46,17
730,Joel Jeffrey,10,1,11,3,1,2,5,0,1,3,0,0,0,2,0,71,86,17
731,Elijah Hollands,9,1,10,4,1,0,4,0,0,1,0,1,2,0,0,63,72,17
732,Levi Casboult,3,5,8,3,2,0,0,3,0,1,1,2,0,1,1,41,50,17
733,Brayden Fiorini↗,6,2,8,1,1,0,2,0,0,0,1,1,2,1,0,40,42,17
734,Charlie Ballard,1,5,6,1,0,0,2,0,0,1,0,3,0,0,2,18,17,17
735,Alex Sexton↙,4,1,5,2,1,1,0,0,0,1,0,1,0,0,0,27,26,17
736,Bodhi Uwland,5,0,5,2,0,0,2,0,0,0,1,1,4,1,1,27,32,17
737,Tim Kelly,14,18,32,6,1,0,0,0,0,3,5,4,2,0,0,102,121,18
738,Jamaine Jones,18,9,27,1,0,0,1,0,1,11,4,6,3,0,0,79,93,18
739,Dominic Sheed,9,17,26,4,0,0,1,0,1,4,7,4,1,1,2,72,88,18
740,Andrew Gaff,16,6,22,6,0,0,0,0,1,5,1,2,1,0,0,78,87,18
741,Jayden Hunt,17,5,22,4,2,0,1,0,1,4,0,3,5,0,1,86,98,18
742,Shannon Hurn,17,4,21,6,0,0,2,0,0,2,1,0,8,0,0,85,91,18
743,Jeremy McGovern,14,7,21,7,0,0,0,0,0,0,1,3,6,3,1,77,116,18
744,Luke Shuey,5,15,20,1,0,1,3,0,0,2,9,2,0,5,2,60,74,18
745,Sam P-Seton,9,11,20,5,0,0,1,0,2,4,0,3,0,0,0,68,72,18
746,Jamie Cripps,8,9,17,4,3,2,1,0,0,2,1,4,0,1,2,73,85,18
747,Liam Ryan,13,4,17,6,1,1,4,0,1,4,0,3,0,2,2,84,96,18
748,Reuben Ginbey,9,8,17,2,0,0,6,0,0,4,1,4,1,1,1,71,76,18
749,Jake Waterman,11,5,16,8,4,2,2,8,0,0,0,1,0,1,0,110,114,18
750,Alex Witherden,9,6,15,2,0,0,4,0,0,1,2,4,5,3,2,58,64,18
751,Liam Duggan,11,3,14,8,0,0,1,0,0,2,0,1,3,0,0,67,55,18
752,Jack Darling,9,3,12,4,1,1,5,5,1,2,2,1,0,1,1,75,93,18
753,Tom Cole,7,4,11,3,0,0,2,0,0,1,1,3,2,0,2,40,52,18
754,Bailey J. Williams,3,7,10,1,0,0,2,20,0,1,2,4,2,0,1,51,65,18
755,Oscar Allen,6,3,9,4,2,2,1,0,0,2,0,1,0,0,0,54,68,18
756,Tom Barrass,4,4,8,1,0,0,0,0,0,0,0,2,0,0,2,17,34,18
757,Noah Long,3,4,7,0,0,0,4,0,2,3,0,0,0,1,0,34,62,18
758,Campbell Chesser↗,3,3,6,1,0,1,2,0,0,1,0,1,0,0,0,27,27,18
759,Elijah Hewett↙,1,2,3,0,0,0,0,0,0,0,0,2,0,0,1,4,2,18
760,Stephen Coniglio,10,17,27,2,0,0,9,0,0,5,9,6,2,0,1,103,107,18
761,Tom Green,14,13,27,4,0,0,4,0,0,3,5,4,4,0,2,90,106,18
762,Callan Ward,6,17,23,1,0,1,2,0,2,3,5,1,0,1,0,65,72,18
763,Isaac Cumming,16,7,23,2,0,0,1,0,0,1,1,3,9,0,0,72,81,18
764,Jack Buckley,11,10,21,5,0,0,2,0,0,0,0,3,3,0,0,76,99,18
765,Lachlan Ash,17,4,21,2,0,0,1,0,0,4,0,1,7,1,0,70,94,18
766,Finn Callaghan,9,10,19,4,0,1,1,0,0,5,0,5,3,0,1,61,45,18
767,Cooper Hamilton,8,11,19,5,1,0,2,0,1,1,0,4,1,3,0,78,81,18
768,Toby Greene,11,7,18,4,4,2,2,0,1,3,2,5,0,2,2,89,97,18
769,Matthew Flynn,7,10,17,3,0,0,5,39,0,5,5,2,2,4,1,110,132,18
770,Nick Haynes,11,5,16,6,0,0,0,0,0,0,0,1,2,1,1,59,89,18
771,Jesse Hogan,11,4,15,8,3,4,3,1,1,1,0,1,0,2,0,102,95,18
